Data,Moto,Tipo,Categoria,Valor,Observação,Ano,Mes,Periodo
2026-01-27,9 - Fazer 150 Preta SNT,Entrada,Aluguel,250.0,,2026,1,2026-01
2026-01-29,2 - Factor 150cc STS,Entrada,Aluguel,250.0,,2026,1,2026-01
2026-01-30,10 - Fazer 150 Preta SOD,Entrada,Aluguel,250.0,,2026,1,2026-01
2026-01-30,8 - Fazer 150 Preta SNP,Entrada,Aluguel,250.0,,2026,1,2026-01
2026-01-31,5 - Yamaha Factor Azul - SOK,Entrada,Aluguel,250.0,,2026,1,2026-01
2026-01-31,11 - Factor 2025 SOZ,Entrada,Aluguel,250.0,Descontado da Caução,2026,1,2026-01
,,,,,,,,<NA>-<NA>
2026-02-02,2 - Factor 150cc STS,Entrada,Aluguel,250.0,,2026,2,2026-02
2026-02-04,1 - Honda CG preta OYQ,Saída,Revisão,280.0,,2026,2,2026-02
2026-02-04,10 - Fazer 150 Preta SOD,Saída,Manutenção,30.0,Tração,2026,2,2026-02
2026-02-04,7 - Fazer 150 Preta SNO,Saída,Revisão,126.0,"Revisão, Troca de Óleo e Filto de Óleo ",2026,2,2026-02
2026-02-04,9 - Fazer 150 Preta SNT,Entrada,Aluguel,250.0,,2026,2,2026-02
2026-02-06,13 - Fazer 150 Preta SZL,Saída,Outros,163.86,Vistoria Roubos e Furtos,2026,2,2026-02
2026-02-06,13 - Fazer 150 Preta SZL,Saída,Outros,7.42,Cartório,2026,2,2026-02
2026-02-06,2 - Factor 150cc STS,Saída,Revisão,370.0,"Revisão 100, Retentor Bengala, Filtro de Ar, Filtro de Gasolina, Bucha da Balança, Bucha da Coroa, Pastilha de freio.",2026,2,2026-02
2026-02-06,8 - Fazer 150 Preta SNP,Entrada,Aluguel,250.0,,2026,2,2026-02
2026-02-06,5 - Yamaha Factor Azul - SOK,Entrada,Aluguel,250.0,,2026,2,2026-02
2026-02-07,13 - Fazer 150 Preta SZL,Saída,Seguro,150.0,Adesão Seguro,2026,2,2026-02
2026-02-07,2 - Factor 150cc STS,Saída,Manutenção,100.0,Tração,2026,2,2026-02
2026-02-08,12 - Factor 2025 TOV,Entrada,Aluguel,250.0,,2026,2,2026-02
2026-02-08,12 - Factor 2025 TOV,Entrada,Outros,50.0,Suporte Celular + Carregador,2026,2,2026-02
2026-02-11,9 - Fazer 150 Preta SNT,Entrada,Aluguel,250.0,,2026,2,2026-02
2026-02-11,9 - Fazer 150 Preta SNT,Saída,Manutenção,40.0,Pastilha de Freio,2026,2,2026-02
2026-02-11,11 - Factor 2025 SOZ,Entrada,Aluguel,500.0,,2026,2,2026-02
2026-02-11,3 - Factor vermelha SGE,Entrada,Aluguel,250.0,,2026,2,2026-02
2026-02-11,10 - Fazer 150 Preta SOD,Entrada,Aluguel,250.0,,2026,2,2026-02
2026-02-11,12 - Factor 2025 TOV,Saída,Outros,141.75,,2026,2,2026-02
2026-02-12,6 - Fazer 150 Vermelha SOO,Entrada,Aluguel,500.0,,2026,2,2026-02
2026-02-12,6 - Fazer 150 Vermelha SOO,Saída,Manutenção,180.0,Tração + Pastinha de Freio,2026,2,2026-02
2026-02-12,7 - Fazer 150 Preta SNO,Entrada,Caução,250.0,,2026,2,2026-02
2026-02-12,7 - Fazer 150 Preta SNO,Entrada,Aluguel,250.0,,2026,2,2026-02
2026-02-13,2 - Factor 150cc STS,Entrada,Aluguel,250.0,,2026,2,2026-02
2026-02-13,2 - Factor 150cc STS,Saída,Manutenção,100.0,Tração,2026,2,2026-02
2026-02-13,2 - Factor 150cc STS,Saída,Outros,235.0,Pneu Traseiro,2026,2,2026-02
2026-02-13,2 - Factor 150cc STS,Saída,Outros,40.0,Cabo Embreagem,2026,2,2026-02
